day;timestamp;buyer;seller;symbol;currency;price;quantity
1;0;Caesar;Paris;CROISSANTS;SEASHELLS;4265.0;8
1;100;Charlie;Paris;RAINFOREST_RESIN;SEASHELLS;9999.0;1
1;200;Paris;Caesar;CROISSANTS;SEASHELLS;4266.0;8
1;200;Paris;Caesar;JAMS;SEASHELLS;6520.0;7
1;200;Paris;Charlie;KELP;SEASHELLS;2046.0;1
1;200;Paris;Charlie;SQUID_INK;SEASHELLS;1803.0;1
1;300;Charlie;Paris;KELP;SEASHELLS;2044.0;1
1;300;Charlie;Paris;SQUID_INK;SEASHELLS;1801.0;1
1;500;Paris;Charlie;KELP;SEASHELLS;2047.0;2
1;500;Paris;Charlie;SQUID_INK;SEASHELLS;1804.0;2
1;600;Paris;Caesar;CROISSANTS;SEASHELLS;4266.0;5
1;700;Charlie;Gina;RAINFOREST_RESIN;SEASHELLS;9997.0;9
1;900;Charlie;Gary;KELP;SEASHELLS;2043.0;8
1;900;Charlie;Pablo;RAINFOREST_RESIN;SEASHELLS;9998.0;4
1;900;Charlie;Gary;SQUID_INK;SEASHELLS;1803.0;8
1;1000;Paris;Caesar;JAMS;SEASHELLS;6522.0;4
1;1200;Caesar;Paris;JAMS;SEASHELLS;6521.0;9
1;1200;Camilla;Paris;KELP;SEASHELLS;2043.0;1
1;1200;Camilla;Paris;SQUID_INK;SEASHELLS;1804.0;1
1;1300;Pablo;Camilla;PICNIC_BASKET1;SEASHELLS;58732.0;6
1;1300;Pablo;Camilla;PICNIC_BASKET2;SEASHELLS;30114.0;6
1;1300;Paris;Camilla;RAINFOREST_RESIN;SEASHELLS;10003.0;1
1;1500;Charlie;Paris;KELP;SEASHELLS;2044.0;1
1;1500;Caesar;Paris;MAGNIFICENT_MACARONS;SEASHELLS;660.0;5
1;1500;Charlie;Paris;SQUID_INK;SEASHELLS;1804.0;1
1;1600;Caesar;Paris;CROISSANTS;SEASHELLS;4267.0;8
1;1700;Paris;Caesar;DJEMBES;SEASHELLS;13417.0;3
1;2000;Caesar;Paris;DJEMBES;SEASHELLS;13415.0;2
1;2000;Charlie;Camilla;SQUID_INK;SEASHELLS;1806.0;1
1;2100;Penelope;Charlie;RAINFOREST_RESIN;SEASHELLS;10008.0;4
1;2300;Caesar;Paris;DJEMBES;SEASHELLS;13416.0;2
1;2400;Paris;Charlie;MAGNIFICENT_MACARONS;SEASHELLS;684.0;4
1;2500;Paris;Caesar;JAMS;SEASHELLS;6522.0;6
1;2800;Caesar;Paris;JAMS;SEASHELLS;6520.0;9
1;2900;Caesar;Paris;JAMS;SEASHELLS;6520.0;10
1;3200;Paris;Camilla;KELP;SEASHELLS;2045.0;2
1;3200;Paris;Camilla;SQUID_INK;SEASHELLS;1807.0;2
1;3500;Charlie;Camilla;SQUID_INK;SEASHELLS;1807.0;1
