day;timestamp;symbol;currency;price;quantity
1;0;RAINFOREST_RESIN;SEASHELLS;10008.0;6
1;100;KELP;SEASHELLS;2034.0;1
1;100;RAINFOREST_RESIN;SEASHELLS;9992.0;2
1;100;SQUID_INK;SEASHELLS;1838.0;1
1;200;JAMS;SEASHELLS;6542.0;11
1;200;JAMS;SEASHELLS;6543.0;9
1;200;KELP;SEASHELLS;2035.0;1
1;200;SQUID_INK;SEASHELLS;1842.0;1
1;300;KELP;SEASHELLS;2034.0;1
1;300;RAINFOREST_RESIN;SEASHELLS;10001.0;1
1;300;SQUID_INK;SEASHELLS;1843.0;1
1;500;KELP;SEASHELLS;2034.0;1
1;500;SQUID_INK;SEASHELLS;1840.0;1
1;600;KELP;SEASHELLS;2033.0;5
1;600;RAINFOREST_RESIN;SEASHELLS;9997.0;3
1;600;SQUID_INK;SEASHELLS;1840.0;5
1;700;JAMS;SEASHELLS;6542.0;6
1;700;KELP;SEASHELLS;2032.0;1
1;700;SQUID_INK;SEASHELLS;1834.0;1
1;800;KELP;SEASHELLS;2032.0;1
1;800;SQUID_INK;SEASHELLS;1833.0;1
1;900;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;518.0;12
1;900;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;518.0;1
1;900;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;279.0;12
1;900;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;279.0;1
1;900;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;95.0;12
1;900;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;95.0;1
1;900;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1016.0;12
1;900;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1016.0;1
1;900;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;767.0;12
1;900;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;767.0;1
1;1000;CROISSANTS;SEASHELLS;4275.0;7
1;1000;DJEMBES;SEASHELLS;13413.0;4
1;1100;DJEMBES;SEASHELLS;13414.0;5
1;1100;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;519.0;14
1;1100;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;519.0;1
1;1100;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;280.0;14
1;1100;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;280.0;1
1;1100;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;96.0;14
1;1100;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;96.0;1
1;1100;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1017.0;14
1;1100;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1017.0;1
1;1100;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;768.0;14
1;1100;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;768.0;1
1;1200;KELP;SEASHELLS;2032.0;1
1;1200;SQUID_INK;SEASHELLS;1837.0;1
1;1400;CROISSANTS;SEASHELLS;4273.0;6
1;1400;KELP;SEASHELLS;2033.0;6
1;1400;RAINFOREST_RESIN;SEASHELLS;10001.0;1
1;1400;SQUID_INK;SEASHELLS;1842.0;6
1;1500;DJEMBES;SEASHELLS;13412.0;7
1;1500;JAMS;SEASHELLS;6542.0;10
1;1500;JAMS;SEASHELLS;6542.0;8
1;1500;KELP;SEASHELLS;2034.0;1
1;1600;JAMS;SEASHELLS;6542.0;4
1;1700;JAMS;SEASHELLS;6542.0;8
1;1800;RAINFOREST_RESIN;SEASHELLS;10002.0;3
1;1900;DJEMBES;SEASHELLS;13414.0;2
1;1900;KELP;SEASHELLS;2032.0;1
1;1900;SQUID_INK;SEASHELLS;1847.0;1
1;1900;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;515.0;16
1;1900;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;277.0;16
1;1900;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;94.0;16
1;1900;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1014.0;16
1;1900;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;764.0;16
1;2000;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;516.0;14
1;2000;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;278.0;14
1;2000;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;94.0;14
1;2000;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;765.0;14
1;2100;DJEMBES;SEASHELLS;13414.0;8
1;2100;RAINFOREST_RESIN;SEASHELLS;9992.0;4
1;2200;DJEMBES;SEASHELLS;13415.0;3
1;2300;PICNIC_BASKET1;SEASHELLS;58678.0;2
1;2300;PICNIC_BASKET1;SEASHELLS;58678.0;1
1;2300;PICNIC_BASKET2;SEASHELLS;30238.0;2
1;2300;PICNIC_BASKET2;SEASHELLS;30237.0;1
1;2400;CROISSANTS;SEASHELLS;4273.0;7
1;2500;RAINFOREST_RESIN;SEASHELLS;10008.0;5
1;2700;DJEMBES;SEASHELLS;13416.0;5
1;3000;KELP;SEASHELLS;2035.0;1
1;3000;MAGNIFICENT_MACARONS;SEASHELLS;660.0;5
1;3000;SQUID_INK;SEASHELLS;1855.0;1
1;3200;RAINFOREST_RESIN;SEASHELLS;10003.0;4
1;3200;RAINFOREST_RESIN;SEASHELLS;10003.0;3
1;3300;CROISSANTS;SEASHELLS;4274.0;7
1;3500;DJEMBES;SEASHELLS;13415.0;2
1;3600;CROISSANTS;SEASHELLS;4275.0;5
1;3700;RAINFOREST_RESIN;SEASHELLS;9999.0;1
1;3900;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;508.0;10
1;3900;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;508.0;2
1;3900;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;271.0;10
1;3900;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;271.0;2
1;3900;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;90.0;10
1;3900;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;90.0;2
1;3900;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1007.0;10
1;3900;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1007.0;2
1;3900;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;757.0;10
1;3900;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;757.0;2
1;4000;KELP;SEASHELLS;2033.0;1
1;4200;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;512.0;13
1;4200;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;512.0;1
1;4200;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;274.0;13
1;4200;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;274.0;1
1;4200;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;93.0;13
1;4200;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;93.0;1
1;4200;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1011.0;13
1;4200;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1011.0;1
1;4200;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;761.0;13
1;4200;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;761.0;1
1;4300;KELP;SEASHELLS;2033.0;2
1;4300;SQUID_INK;SEASHELLS;1854.0;2
1;4300;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;271.0;18
1;4300;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;90.0;18
1;4300;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1007.0;18
1;4300;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;757.0;18
1;4600;JAMS;SEASHELLS;6542.0;9
1;4600;JAMS;SEASHELLS;6544.0;5
1;4800;RAINFOREST_RESIN;SEASHELLS;9999.0;1
1;4900;CROISSANTS;SEASHELLS;4271.0;4
1;4900;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;504.0;10
1;4900;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;504.0;2
1;4900;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;267.0;10
1;4900;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;267.0;2
1;4900;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;88.0;10
1;4900;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;88.0;2
1;4900;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1003.0;10
1;4900;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;1003.0;2
1;4900;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;753.0;10
1;4900;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;753.0;2
1;5200;KELP;SEASHELLS;2033.0;5
1;5200;KELP;SEASHELLS;2033.0;4
1;5200;SQUID_INK;SEASHELLS;1854.0;5
1;5200;SQUID_INK;SEASHELLS;1854.0;4
1;5300;RAINFOREST_RESIN;SEASHELLS;9992.0;6
1;5400;KELP;SEASHELLS;2036.0;1
1;5400;SQUID_INK;SEASHELLS;1856.0;1
1;5500;JAMS;SEASHELLS;6540.0;9
1;5500;SQUID_INK;SEASHELLS;1854.0;8
1;5600;PICNIC_BASKET1;SEASHELLS;58649.0;2
1;5600;PICNIC_BASKET2;SEASHELLS;30233.0;2
1;6000;RAINFOREST_RESIN;SEASHELLS;10008.0;7
1;6100;JAMS;SEASHELLS;6540.0;4
1;6200;KELP;SEASHELLS;2035.0;1
1;6200;SQUID_INK;SEASHELLS;1855.0;1
1;6300;KELP;SEASHELLS;2036.0;11
1;6300;SQUID_INK;SEASHELLS;1858.0;11
1;6500;RAINFOREST_RESIN;SEASHELLS;10002.0;3
